CustomerID,Lookalikes
C0001,"[('C0064', 0.9992693917143656), ('C0018', 0.9829078426714997), ('C0119', 0.9790113801168975)]"
C0002,"[('C0159', 0.9960634230039127), ('C0133', 0.9954845418474089), ('C0062', 0.9954354221992985)]"
C0003,"[('C0031', 0.994108427749617), ('C0026', 0.9922071346191251), ('C0149', 0.9865467433564644)]"
C0004,"[('C0065', 0.9707173157606297), ('C0018', 0.9467155766693226), ('C0064', 0.9230476361943091)]"
C0005,"[('C0197', 0.9986021917927446), ('C0163', 0.9450833902843409), ('C0097', 0.07809965946516398)]"
C0006,"[('C0079', 0.999606128071837), ('C0135', 0.9978772468517981), ('C0187', 0.9830449910400834)]"
C0007,"[('C0199', 0.9971285935172047), ('C0140', 0.9895467707332201), ('C0095', 0.9857948646365536)]"
C0008,"[('C0145', 0.993079746456364), ('C0075', 0.9818065329951786), ('C0045', 0.9780504304602248)]"
C0009,"[('C0092', 0.9877365965064394), ('C0072', 0.974479921867749), ('C0097', 0.10103205270112968)]"
C0010,"[('C0142', 0.9989914382564284), ('C0132', 0.9917030742282337), ('C0061', 0.9842918510521518)]"
C0011,"[('C0094', 0.9782198875957447), ('C0032', 0.9576350571501075), ('C0156', 0.845573842948317)]"
C0012,"[('C0065', 0.05412199412299879), ('C0141', 0.052221224280567004), ('C0109', 0.05173817177073045)]"
C0013,"[('C0101', 0.9951522321570431), ('C0105', 0.9776411196266235), ('C0034', 0.9532516356936256)]"
C0014,"[('C0097', 0.9996577812143888), ('C0060', 0.9995922323159503), ('C0080', 0.9987873084498007)]"
C0015,"[('C0123', 0.9992990496004965), ('C0073', 0.9827529330932884), ('C0038', 0.9346252021376302)]"
C0016,"[('C0107', 0.9960381371311188), ('C0192', 0.9864673753786938), ('C0141', 0.017742068486022673)]"
C0017,"[('C0190', 0.9789963405007776), ('C0109', 0.0990371889250356), ('C0065', 0.09791301577208497)]"
C0018,"[('C0064', 0.9869501333987786), ('C0001', 0.9829078426714997), ('C0004', 0.9467155766693226)]"
C0019,"[('C0191', 0.9963400373959841), ('C0125', 0.9837732626177933), ('C0050', 0.9616330468636765)]"
C0020,"[('C0130', 0.9998298353154452), ('C0120', 0.9830733186673859), ('C0097', 0.1626678968239108)]"
